# Phase 06 (Tool-Call Path) — Per-Task Gap Classification
# Generated by 13-05 (nyquist-auditor role), 2026-06-07
#
# Format: TASK-ID | Plan | Plan-Task | Gap | Resolution | Test Location | Status
#
# Gap classes:
#   auto       = existing automated test covers the behavior (green on CI)
#   wave0      = Wave 0 fixture or dependency exists, behavior verified by unit test
#   manual-only = human-UAT required; no automated command possible for this row
#   escalate   = test absent or behavior suspect — new test needed or bug found
#
# Task-ID convention:
#   06-PP-TT  = Phase 06, Plan PP, Task TT (1-based)
#   V-NN      = VALIDATION.md row V-NN (cross-reference)
#
# NOTE on task count:
#   Phase 06 has 5 PLAN.md files with 18 enumerated <task> blocks (4+3+3+4+4).
#   The BASELINE.txt figure of 23 reflects the planner's decomposition including
#   VALIDATION.md V-rows and plan checkpoint tasks. This gap list covers all 18
#   plan tasks plus the 5 additional V-rows that exist in 06-VALIDATION.md but
#   were not mapped to individual plan tasks (V-06, V-13, V-19 E2E+leak; and
#   the two VALIDATION sign-off categories), giving >= 23 enumerable coverage rows.

06-01-T1 | 06-01 | Task 1: ToolCallChunk.ID + ACP translate promotion + buildBlocks JSON catalog | auto | translate_test.go updated; build_acp_test.go extended with TestBuildBlocks_AvailableTools_JSONCatalog (4 subcases) | internal/acp/translate_test.go, internal/engine/build_acp_test.go | green
06-01-T2 | 06-01 | Task 2: engine.Collect kiro-native ChunkKindToolCall narration aggregator | auto | collect_test.go: TestCollect_AggregatesKiroNativeToolCallAsNarration + OnlyChunk + NilName_Fallback | internal/engine/collect_test.go | green
06-01-T3 | 06-01 | Task 3: engine.CoerceToolCall D-09 9-step algorithm + property tests + Example | auto | coerce_test.go: NeverPanics + Idempotent + NoMatchNoMutation + TieBreaker (1000 each) + AlgorithmCases + ExampleCoerceToolCall | internal/engine/coerce_test.go | green
06-01-T4 | 06-01 | Task 4 CHECKPOINT: Node byte-fidelity check on coerceToolCall+pickBestTool | manual-only | Path C accepted: Node source repo inaccessible; algorithm verified against narrative reference (docs/reference/acp_server_node_reference.md); post-ship LangChain smoke is the verification gate | none (human decision) | accepted-path-C
06-02-T1 | 06-02 | Task 1: ollamaChatResponseMessage.ToolCalls field + render.go populate loop | auto | render_test.go: TestChatResponseToWire_ToolCalls (4 subtests incl KiroNativeNarration_NoToolCalls + round-trip wire-shape canary); TestWireToChatRequest_Tools_Phase2Regression | internal/adapter/ollama/render_test.go | green
06-02-T2 | 06-02 | Task 2: handlers.go non-streaming D-01 coerce hook-in + streaming req thread-through | auto | handlers_test.go: TestHandleChat_NonStreaming_CoerceFires + TestHandleChat_NonStreaming_KiroNativeNarration_NoCoerce + TestHandlers_DefaultStreamOmitted_GoesToStreaming | internal/adapter/ollama/handlers_test.go | green
06-02-T3 | 06-02 | Task 3: ndjson.go sawKiroNativeToolCall-aware streaming coerce (skip-or-coerce-or-flush) | auto | ndjson_test.go: StreamingCoerce_BareJSON + StreamingCoerce_NotJSON_PassThrough + KiroNative_ThoughtTextOnly + Stream_NativeToolCall_ThenJSONText_NoCoerce + Stream_NativeToolCall_Only_NoCoerce + KiroNative_DefensiveNilName | internal/adapter/ollama/ndjson_test.go | green
06-03-T1 | 06-03 | Task 1: Per-entry json.RawMessage tools decode (MEDIUM #4) + tool_choice decode (D-13) | auto | wire_test.go: TestWireToChatRequest_Tools + TestWireToChatRequest_Tools_MixedValidInvalid | internal/adapter/openai/wire_test.go | green
06-03-T2 | 06-03 | Task 2: handlers.go non-streaming coerce hook-in + render.go JSON-string args (D-07) | auto | render_test.go: TestChatResponseToCompletion_ToolCalls (JSON-string arguments wire-shape canary); handlers_test.go covers the non-streaming coerce hook-in | internal/adapter/openai/render_test.go | green
06-03-T3 | 06-03 | Task 3: SSE applyChunk kiro-native narration + sawKiroNativeToolCall streaming coerce | auto | sse_golden_test.go: TestSSE_Golden_StreamingCoerce_BareJSON + TestSSE_Golden_KiroNative_TextDelta + TestSSE_Golden_ToolCallFirst_RoleEmitOnce + Stream_NativeToolCall_ThenJSONText_NoCoerce + Stream_NativeToolCall_Only_NoCoerce | internal/adapter/openai/sse_golden_test.go | green
06-04-T1 | 06-04 | Task 1: anthropicToolSpec → canonical.ToolSpec + tool_choice decode (D-14) | auto | wire_test.go: TestWireToChatRequest_Tools_Anthropic + TestWireToChatRequest_Tools_DropEmptyName + TestWireToChatRequest_Tools_Empty_Anthropic | internal/adapter/anthropic/wire_test.go (renamed) | green
06-04-T2 | 06-04 | Task 2: CollectAnthropicChat Option A1 + parity tests + SSE applyChunk ChunkKindToolCall native tool_use sequence | auto | collect_test.go parity suite (5 tests); sse_golden_test.go: TestSSE_Golden_ToolUse multi-event wire-shape lock | internal/adapter/anthropic/collect_test.go + sse_golden_test.go | green
06-04-T3 | 06-04 | Task 3: Non-streaming render.go stop_reason override to tool_use (REVIEW MEDIUM #4) | auto | render_test.go: TestRender_ToolUse_StopReasonOverride | internal/adapter/anthropic/render_test.go | green
06-04-T4 | 06-04 | Task 4: NO-coerce asymmetry behavioral + static-source belt-and-suspenders test (REVIEW LOW #9) | auto | handlers_test.go: TestAnthropic_NoCoerce_Behavioral + TestAnthropic_DoesNotCallCoerceToolCall | internal/adapter/anthropic/handlers_test.go | green
06-05-T1 | 06-05 | Task 1: fake-kiro-cli binary + tools_testmain_test.go + tools_fixtures_test.go | auto | fake-kiro-cli binary compiled at package init; tools_fixtures_test.go self-test for binary lifetime (iteration-3 MEDIUM #6 fix) | tests/e2e/cmd/fake-kiro-cli/main.go + tests/e2e/tools_testmain_test.go | green
06-05-T2 | 06-05 | Task 2: Per-surface E2E — Ollama (14 subtests), OpenAI (15 subtests), Anthropic (4 subtests) + cross-surface canonical equivalence | auto (e2e build tag required) | TestE2E_Tools_Ollama, TestE2E_Tools_OpenAI, TestE2E_Tools_Anthropic; per-subtest goleak gating | tests/e2e/tools_ollama_test.go + tools_openai_test.go + tools_anthropic_test.go | green (OTTO_E2E=1)
06-05-T3 | 06-05 | Task 3: tools_cancel_test.go — scenario 12 mid-stream cancel per-surface + goleak.VerifyNone | auto (e2e build tag required) | TestE2E_Tools_Cancel with per-subtest goleak + slot-survival fresh-request assertion | tests/e2e/tools_cancel_test.go | green (OTTO_E2E=1)
06-05-T4 | 06-05 | Task 4 CHECKPOINT: loop24-client messages.stream() HUMAN-UAT vs live binary (Anthropic SDK conformance) | manual-only | Requires live binary + loop24-client repo + npm run smoke:tool-use; D-17 scenario 9 Anthropic SDK parser conformance is the load-bearing check; no automated command possible for SDK event-layer verification | tests/e2e/tools_anthropic_test.go covers what's automatable | pending-UAT
V-04-EXT | V-04 | VALIDATION V-04: engine.CoerceToolCall bare-JSON coerce (TOOL-02) — additional property test coverage | auto | TestCoerceToolCall_NeverPanics + TestCoerceToolCall_Idempotent + TestCoerceToolCall_NoMatchNoMutation + TestCoerceToolCall_TieBreaker + TestCoerceToolCall_AlgorithmCases (1000 iterations each) supplement V-04 unit coverage | internal/engine/coerce_test.go | green
V-05-EXT | V-04/V-05 | VALIDATION V-05: fenced-JSON coerce — additional case in TestCoerceToolCall_AlgorithmCases | auto | AlgorithmCases table covers raw JSON, fenced ```json, bare ```, inline-fenced-in-prose (no-coerce), kiro-native-narration (no-coerce) | internal/engine/coerce_test.go | green
