# 13-04-GAPS.txt — Phase 02 (Ollama End-to-End) per-task gap classification
# Enumerated 2026-06-07 by plan 13-04 executor acting as gsd-nyquist-auditor.
#
# BASELINE surface: 6 plans, 23 task rows (BASELINE.txt says 23; actual plan
# task elements counted by splitting compound tasks into sub-rows where a single
# plan task delivered multiple independently-verifiable artifacts).
#
# Format: <task_id> | <plan> | <current_state> | <classification> | <proposed_action>
#
# current_state:
#   filled   – automated <verify> exists in PLAN.md and test passes today
#   partial  – verify exists but one sub-behavior lacks direct test coverage
#   missing  – no automated command cited in VALIDATION.md row
#
# classification:
#   auto            – existing or new go test -race command covers it, < 60s
#   wave0           – covered by Wave 0 fixture (test infra that shipped with the phase)
#   manual-only     – no programmatic verify possible; written rationale provided
#   escalate-candidate – gap can only be closed by a behavioral test not yet written
#
# Proposed action: none (already covered) | add-test <TestName> | document-rationale

02-01-T1 | 02-01 | filled | auto | none — go test -race ./internal/canonical/... covers TestChatRequest_ZeroValue, TestMessageRole_DiscriminatorCoverage, TestContentKind_DiscriminatorCoverage, TestChatResponse_AssemblyShape, TestNoJSONTags, TestFinalResult_ZeroValue; all pass
02-01-T2 | 02-01 | filled | auto | none — go test -race ./internal/canonical/... covers TestChatRequest_ResourceLinks (3 sub-tests); all pass; encoding/json absent from chat_test.go; whitebox package canonical confirmed
02-01-T3 | 02-01 | filled | auto | none — go test -race ./internal/canonical/... covers TestBlockKindImage_Discriminator, TestImageBlock_ZeroValue, TestBlock_ImageVariant, TestNoJSONTags_ChunkImageBlock; BlockKindText==0 and BlockKindResourceLink==1 preserved; all pass
02-02-T1 | 02-02 | filled | auto | none — go test -race ./internal/auth/... covers TestWriteOllamaError_Shape; auth.go compiles; Config struct + writeOllamaError present; TrustXForwardedFor bool field present (Codex H-7)
02-02-T2a | 02-02 | filled | auto | none — go test -race ./internal/auth/... covers TestBearer_EmptyTokens_PassesThrough, TestBearer_ValidToken_PassesThrough, TestBearer_InvalidToken_Rejects, TestBearer_MissingHeader_Rejects, TestBearer_MultiToken_ValidatesAny, TestBearer_DualHeader; subtle.ConstantTimeCompare present in bearer.go
02-02-T2b | 02-02 | filled | auto | none — go test -race ./internal/auth/... covers TestIPAllowlist_EmptyPrefixes_PassesThrough, TestIPAllowlist_MatchingCIDR_PassesThrough, TestIPAllowlist_NonMatchingIP_Rejects, TestIPAllowlist_IPv4InIPv6Mapping, TestIPAllowlist_XFFNotTrustedByDefault, TestIPAllowlist_XFFRespectedWhenEnabled, TestIPAllowlist_XFFIgnored_FallsBackToRemoteAddr_WhenDisabled, TestIPAllowlist_MalformedXFF_FallsBackToRemoteAddr; netip.Prefix.Contains and ::ffff: strip present
02-02-T3 | 02-02 | filled | auto | none — go test -race ./internal/auth/... exits 0; 5+ TestBearer_* + 8 TestIPAllowlist_* + writeOllamaError whitebox all pass
02-03-T1 | 02-03 | filled | auto | none — go test -race ./internal/config/... covers TestLoad_AuthToken_*, TestLoad_AllowedIPs_*, TestLoad_PoolSize_*, TestLoad_OllamaPathPrefix_*, TestLoad_OpenAIPathPrefix_*, TestLoad_AuthTrustXFF_*; config.go compiles; AuthToken + AllowedIPs + PoolSize + OllamaPathPrefix + OpenAIPathPrefix + AuthTrustXFF fields present; netip-only (no net.ParseCIDR)
02-03-T2 | 02-03 | filled | auto | none — go test -race ./internal/config/... covers TestParseCIDRs_BareIP, TestParseCIDRs_Mixed, TestParseCIDRs_Error in config_internal_test.go (whitebox); t.Setenv used for env manipulation; config_test.go remains package config_test (blackbox)
02-04-T1a | 02-04 | filled | auto | none — go test -race ./internal/engine/... covers TestPreflight_Phase11Surface (Codex H-1 gate proving Phase 1.1 surface); engine.go compiles; ACPClient + Stream interfaces + Engine struct + New + Run + PreHook + PostHook declared; goleak.VerifyTestMain wired; acp not imported from engine.go directly (Codex H-3)
02-04-T1b | 02-04 | filled | auto | none — go test -race ./internal/engine/... covers TestACPClientAdapter_Compiles, TestACPStreamShim_DelegatesChunksField, TestACPStreamShim_ResultReturnsCanonicalFinalResult; acp_adapter.go isolates the acp import; acpStreamShim delegates Chunks field as method; var _ ACPClient = (*acpClientAdapter)(nil) compile-time check present
